PRODUÇÃO,RETRANCA,TIPO,ARTISTA,ANO,MÊS,DIA,SEMANA,HORA,MINUTOS,SEGUNDOS
BDBR,PERIODO,x,x,2022,Feb,14,Mon,23,43,14
BDBR,COMBUSTIVEIS,ARTE,KMB,2022,Feb,14,Mon,8,27,26
BDBR,DINHEIRO ESQUECIDO,x,FQB,2022,Feb,14,Mon,7,32,16
BDDF,ARTE CORINTHIANS,DESTAQUE,x,2022,Feb,14,Mon,23,28,8
BDDF,ARTE ELIMINATORIAS,DESTAQUE,x,2022,Feb,14,Mon,23,38,26
BDDF,ARTE GREMIO,DESTAQUE,x,2022,Feb,14,Mon,23,21,11
BDDF,CARCERE PRIVADO,ARTE,GVB,2022,Feb,14,Mon,22,31,18
BDDF,CASOS DENGUE1,MAPA,AMB,2022,Feb,14,Mon,19,50,15
BDDF,CASOS DENGUE1,MAPA,x,2022,Feb,14,Mon,22,55,21
BDDF,CASOS DENGUE2,MAPA,x,2022,Feb,14,Mon,22,47,57
BDDF,DF INSEGURO,x,KMB,2022,Feb,14,Mon,5,27,30
BDDF,REGRAS PASSE LIVRE,ARTE,x,2022,Feb,14,Mon,22,25,1
BDDF,VIOLENCIA CONTRA AS MULHERES,x,KMB,2022,Feb,14,Mon,5,26,25
BDDF,VOLTA AS AULAS GUIA CONTAGIO,ARTE,IRB,2022,Feb,14,Mon,6,13,56
DF1,CONTRATA PRUDENTE PAG 11,DESTAQUE,KMB,2022,Feb,14,Mon,10,31,5
DF1,CONTRATA PRUDENTE PAG 4,DESTAQUE,KMB,2022,Feb,14,Mon,10,33,10
DF1,CONTRATA PRUDENTE PAG 6 ITEM D,DESTAQUE,KMB,2022,Feb,14,Mon,11,39,8
DF1,CONTRATA PRUDENTE PAG 6 ITENS,DESTAQUE,KMB,2022,Feb,14,Mon,10,28,25
DF1,EFEITOS COVID,GRAFICO,KMB,2022,Feb,14,Mon,11,24,58
DF1,ESTRADAS BR020,MAPA,IRB,2022,Feb,14,Mon,10,18,19
DF1,ESTRADAS MORTES POR RODOVIA,DESTAQUE,IRB,2022,Feb,14,Mon,9,52,31
GE,REAGE ASSALTO 01,x,IRB,2022,Feb,14,Mon,10,50,19
GE,REAGE ASSALTO 02,x,IRB,2022,Feb,14,Mon,10,56,33
DF2,FRAUDE INSS,DESTAQUE,x,2022,Feb,14,Mon,12,41,2
DF2,FRAUDE INSS,DESTAQUE,x,2022,Feb,14,Mon,16,34,13
DF2,FRAUDE INSS,DESTAQUE,x,2022,Feb,14,Mon,16,35,45
DF2,FROTA IPVA,ARTE,x,2022,Feb,14,Mon,17,31,18
DF2,FROTA IPVA,GRAFICO,AMB,2022,Feb,14,Mon,18,35,17
DF2,GOLPE INSS,DESTAQUE,AMB,2022,Feb,14,Mon,16,27,52
DF2,GOLPE INSS,DESTAQUE,AMB,2022,Feb,14,Mon,16,13,29
DF2,PREDIO IRREGULAR,DESTAQUE,KLB,2022,Feb,14,Mon,17,39,53
GE,DESTAQUE,DESTAQUE,PHB,2022,Feb,14,Mon,11,7,58
J10,J10,MAPA,x,2022,Feb,14,Mon,21,18,50
GNEWS,ATAQUE AS URNAS,ARTE,AMB,2022,Feb,14,Mon,18,8,42
GNEWS,ATAQUE AS URNAS,ARTE,AMB,2022,Feb,14,Mon,18,18,54
GNEWS,CRIPTOMOEDAS,ARTE,GVB,2022,Feb,14,Mon,21,29,14
GNEWS,DECRETOS GARIMPO,ARTE,x,2022,Feb,14,Mon,21,45,7
GNEWS,DECRETOS GARIMPO,ARTE,x,2022,Feb,14,Mon,22,16,11
GNEWS,DECRETOS GARIMPO,ARTE,x,2022,Feb,14,Mon,21,51,11
GNEWS,DECRETOS GARIMPO,ARTE,x,2022,Feb,14,Mon,22,18,15
GNEWS,DECRETOS GARIMPO,ARTE,x,2022,Feb,14,Mon,21,54,33
GNEWS,DECRETOS GARIMPO,ARTE,x,2022,Feb,14,Mon,22,14,58
GNEWS,ED 18 ADPF,DESTAQUE,KLB,2022,Feb,14,Mon,18,56,24
GNEWS,ED 18 ADPF,DESTAQUE,KLB,2022,Feb,14,Mon,19,1,7
GNEWS,FOTO BOLSONARO,FOTO,x,2022,Feb,14,Mon,19,51,32
GNEWS,FOTO BOLSONARO,FOTO,x,2022,Feb,14,Mon,19,50,33
J10,J10,x,x,2022,Feb,14,Mon,21,18,50
J10,J10,TELA,x,2022,Feb,14,Mon,21,20,41
J10,J10,TELA,x,2022,Feb,14,Mon,21,33,45
GNEWS,RUSSIA x UCRANIA BY,x,x,2022,Feb,14,Mon,14,9,57
GNEWS,RUSSIA x UCRANIA,x,x,2022,Feb,14,Mon,12,0,50
GNEWS,VACINA,DESTAQUE,AMB,2022,Feb,14,Mon,19,30,6
H1,CALENDARIO,x,x,2022,Feb,14,Mon,22,20,40
H1,MINERACAO,ARTE,x,2022,Feb,14,Mon,22,8,42
H1,MINERACAO,ARTE,x,2022,Feb,14,Mon,23,44,12
JG,ARTE,ARTE,x,2022,Feb,14,Mon,22,26,32
JG,CALENDARIO,x,x,2022,Feb,14,Mon,22,43,42
JG,DINHEIRO ESQUECIDO arte,ARTE,x,2022,Feb,14,Mon,23,30,12
JG,MINERACAO,ARTE,x,2022,Feb,14,Mon,22,26,32
JH,DINHEIRO ESQUECIDO CALENDARIO,ARTE,IRB,2022,Feb,14,Mon,12,45,56
JH,DINHEIRO ESQUECIDO CALENDARIO,ARTE,IRB,2022,Feb,14,Mon,13,15,55
JH,DINHEIRO ESQUECIDO CASO NEGATIVO,DESTAQUE,IRB,2022,Feb,14,Mon,13,23,12
JH,DINHEIRO ESQUECIDO passo a passo computador,DESTAQUE,KMB,2022,Feb,14,Mon,11,52,5
JH,DINHEIRO ESQUECIDO passo a passo computador,DESTAQUE,KMB,2022,Feb,14,Mon,12,26,2
JH,DINHEIRO ESQUECIDO passo a passo site,DESTAQUE,IRB,2022,Feb,14,Mon,11,59,54
JH,DINHEIRO ESQUECIDO,ARTE,IRB,2022,Feb,14,Mon,12,18,26
JH,DINHEIRO ESQUECIDO,ARTE,IRB,2022,Feb,14,Mon,12,49,51
JN, LEWANDAS X DISQUE 100 ARTE RESTRIÇÃO,DESTAQUE,GVB,2022,Feb,14,Mon,20,28,57
JN,DINEIRO,ARTE,x,2022,Feb,14,Mon,20,10,32
JN,DINHEIRO ESQUECIDO arte01,ARTE,GVB,2022,Feb,14,Mon,20,17,36
JN,DINHEIRO ESQUECIDO arte03,ARTE,WMB,2022,Feb,14,Mon,20,17,32
JN,DINHEIRO ESQUECIDO arte03,ARTE,WMB,2022,Feb,14,Mon,20,21,40
JN,LEWANDAS X DISQUE 100 ARTE A LUZ,DESTAQUE,x,2022,Feb,14,Mon,20,31,53
JN,LEWANDAS X DISQUE 100 ARTE ABSTENHA,DESTAQUE,GVB,2022,Feb,14,Mon,20,22,38
JN,LEWANDAS X DISQUE 100 ARTE CONSENSO,DESTAQUE,x,2022,Feb,14,Mon,20,24,23
JN,LEWANDAS X DISQUE 100 ARTE DISSEMINAREM,ARTE,x,2022,Feb,14,Mon,20,29,51
JN,LEWANDAS X DISQUE 100 ARTE GARANTIDO,DESTAQUE,x,2022,Feb,14,Mon,20,21,50
JN,LEWANDAS X DISQUE 100 ARTE SAUDE COLETIVA,ARTE,WMB,2022,Feb,14,Mon,20,29,25
JN,MINERACAO ARTESANAL nota mme,DESTAQUE,AMB,2022,Feb,14,Mon,19,44,47
JN,MINERACAO ARTESANAL nota mme,DESTAQUE,AMB,2022,Feb,14,Mon,19,46,32
JN,MINERACAO ARTESANAL nota presidencia,DESTAQUE,AMB,2022,Feb,14,Mon,19,34,48
JN,MINERACAO ARTESANAL nota presidencia,DESTAQUE,AMB,2022,Feb,14,Mon,19,47,18
JN,MINERACAO ARTESANAL,PASSEIO,x,2022,Feb,14,Mon,18,0,18
JN,MINERACAO,ARTE,x,2022,Feb,14,Mon,20,16,4
