PRODUÇÃO,RETRANCA,TIPO,ARTISTA,ANO,MÊS,DIA,SEMANA,HORA,MINUTOS,SEGUNDOS
DF1,VACINACAO NO CARNAVAL,ARTE,KMB,2022,Feb,26,Sat,9,52,33
DF1,VACINACAO NO CARNAVAL,ARTE,KMB,2022,Feb,26,Sat,9,53,37
DF2,MEGA,ARTE,x,2022,Feb,26,Sat,18,31,23
DF2,VACINACAO NO CARNAVAL,ARTE,x,2022,Feb,26,Sat,16,47,44
GNEWS,TWITTER BOLSONARO 1,x,x,2022,Feb,26,Sat,17,37,48
GNEWS,TWITTER BOLSONARO 2,x,x,2022,Feb,26,Sat,17,36,56
JN,POSICAO,DESTAQUE,x,2022,Feb,26,Sat,16,21,6
JN,POSICAO,x,x,2022,Feb,26,Sat,17,51,46
JN,POSICAO,x,x,2022,Feb,26,Sat,17,57,49
