PRODUÇÃO,RETRANCA,TIPO,ARTISTA,ANO,MÊS,DIA,SEMANA,HORA,MINUTOS,SEGUNDOS
BDBR,PROPOSTA,x,x,2022,Feb,15,Tue,22,39,25
BDBR,INSS,x,PHB,2022,Feb,15,Tue,18,55,56
BDBR,proposta emenda,x,x,2022,Feb,15,Tue,23,51,9
BDBR,TSE x DESINFORMACAO,ARTE,GVB,2022,Feb,15,Tue,21,29,14
BDDF,CUSTOS,x,x,2022,Feb,15,Tue,22,19,3
BDDF,Nova,x,x,2022,Feb,15,Tue,23,30,54
BDDF,VENDA,x,x,2022,Feb,15,Tue,22,23,52
BDDF,CALENDARIO IPTU,ARTE,AMB,2022,Feb,15,Tue,5,43,43
BDDF,CALENDARIO IPTU,ARTE,AMB,2022,Feb,15,Tue,5,50,12
BDDF,CARCERE PRIVADO,ARTE,IRB,2022,Feb,15,Tue,5,50,3
BDDF,FIM DAS CONTAS DIVIDA DE OBRA,ARTE,IRB,2022,Feb,15,Tue,5,22,0
BDDF,FIM DAS CONTAS DIVIDA DE OBRA,ARTE,IRB,2022,Feb,15,Tue,6,10,25
BDDF,FIM DAS CONTAS DIVIDA DE OBRA,ARTE,IRB,2022,Feb,15,Tue,6,10,37
BDDF,FROTA IPVA,ARTE,x,2022,Feb,15,Tue,0,41,13
BDDF,GASOLINA 2,ARTE,x,2022,Feb,15,Tue,21,52,6
BDDF,GASOLINA GRAFICO,GRAFICO,x,2022,Feb,15,Tue,23,32,26
GE,GE,DESTAQUE,x,2022,Feb,15,Tue,23,6,0
BDDF,INSEGURANCA,x,x,2022,Feb,15,Tue,0,25,7
BDDF,INSEGURANCA,x,x,2022,Feb,15,Tue,5,10,56
BDDF,PAPA ENTULHOS,ARTE,x,2022,Feb,15,Tue,22,8,59
BDDF,SELO VIOLENCIA MULHERES,ARTE,IRB,2022,Feb,15,Tue,5,26,15
BDDF,VENDA,ARTE,x,2022,Feb,15,Tue,23,20,47
BDDF,VERTICAL GOLPE 1,ARTE,x,2022,Feb,15,Tue,20,6,37
BDDF,VERTICAL GOLPE 1,ARTE,x,2022,Feb,15,Tue,23,51,24
BDDF,VERTICAL GOLPE 2,ARTE,x,2022,Feb,15,Tue,20,59,52
BDDF,VERTICAL GOLPE 3,ARTE,x,2022,Feb,15,Tue,20,44,49
DF1,COVID CEILANIDA,DESTAQUE,x,2022,Feb,15,Tue,11,24,30
DF1,FAMILIA IMPURDENTE,DESTAQUE,x,2022,Feb,15,Tue,12,5,38
DF1,FAMILIA IMPURDENTE,DESTAQUE,x,2022,Feb,15,Tue,10,18,1
GE,MENSAGENS CÁRCERE 01,DESTAQUE,IRB,2022,Feb,15,Tue,10,1,48
GE,MENSAGENS CÁRCERE 01,DESTAQUE,IRB,2022,Feb,15,Tue,10,51,7
GE,MENSAGENS CÁRCERE 02,DESTAQUE,IRB,2022,Feb,15,Tue,9,51,33
DF1,MONJOLO,MAPA,IRB,2022,Feb,15,Tue,11,11,13
DF1,PASSE ESTUDANTIL,ARTE,IRB,2022,Feb,15,Tue,11,16,35
GE,SARGENTO TRAFICANTE,MAPA,IRB,2022,Feb,15,Tue,10,52,4
DF1,SEM CADEIRAS DOC 1 PARTE 1,DESTAQUE,AMB,2022,Feb,15,Tue,11,38,55
DF1,SEM CADEIRAS DOC 1 PARTE 1,DESTAQUE,AMB,2022,Feb,15,Tue,11,40,55
DF1,SEM CADEIRAS DOC 1 PARTE 2,DESTAQUE,AMB,2022,Feb,15,Tue,11,41,20
DF1,SEM CADEIRAS DOC 1 PARTE 2,DESTAQUE,AMB,2022,Feb,15,Tue,11,39,23
DF1,SEM CADEIRAS,DESTAQUE,KLB,2022,Feb,15,Tue,10,50,10
DF1,SEM CADEIRAS,DESTAQUE,KLB,2022,Feb,15,Tue,10,57,22
DF1,SEM CADEIRAS,DESTAQUE,KLB,2022,Feb,15,Tue,11,5,4
DF1,SEM CADEIRAS,DESTAQUE,KLB,2022,Feb,15,Tue,12,30,20
DF1,SEM CADEIRAS,DESTAQUE,KLB,2022,Feb,15,Tue,11,38,17
