PRODUÇÃO,RETRANCA,TIPO,ARTISTA,ANO,MÊS,DIA,SEMANA,HORA,MINUTOS,SEGUNDOS
BDBR,OPERAÇÕES POLICIAIS RJ,ARTE,x,2022,Feb,4,Fri,8,7,11
BDBR,OPERAÇÕES POLICIAIS RJ,ARTE,x,2022,Feb,4,Fri,8,8,33
BDBR,RADIOTERAPIA,MAPA,x,2022,Feb,4,Fri,7,22,0
BDDF,SALARIOS,ARTE,x,2022,Feb,4,Fri,0,0,34
DF1,BARULHO CHAFARIZ,DESTAQUE,x,2022,Feb,4,Fri,10,56,34
DF1,DECISAO CLDF,DESTAQUE,x,2022,Feb,4,Fri,9,45,34
DF1,DIA CANCER,ARTE,x,2022,Feb,4,Fri,11,40,3
DF1,DIA CANCER,ARTE,x,2022,Feb,4,Fri,11,51,58
DF1,FUNCIONARIS CEB,DESTAQUE,x,2022,Feb,4,Fri,22,54,0
DF1,FUNCIONARIS CEB,DESTAQUE,x,2022,Feb,4,Fri,22,54,9
DF1,FUNCIONARIS CEB,DESTAQUE,x,2022,Feb,4,Fri,22,53,55
DF1,MULTA PM,DESTAQUE,x,2022,Feb,4,Fri,10,14,6
DF2,CAMERA UNIDADE,DESTAQUE,x,2022,Feb,4,Fri,16,41,46
DF2,CAMERA UNIDADE,DESTAQUE,x,2022,Feb,4,Fri,14,9,15
DF2,COVID,DESTAQUE,x,2022,Feb,4,Fri,16,52,56
DF2,COVID,DESTAQUE,x,2022,Feb,4,Fri,16,50,58
DF2,DESTAQUE,DESTAQUE,PHB,2022,Feb,4,Fri,17,3,42
GE,GESTAO RODOVIARIOA NOTA,DESTAQUE,x,2022,Feb,4,Fri,16,34,21
DF2,PRATO CHEIO,DESTAQUE,x,2022,Feb,4,Fri,15,52,57
DF2,PRATO CHEIO,DESTAQUE,x,2022,Feb,4,Fri,15,49,19
DF2,PRATO CHEIO,DESTAQUE,x,2022,Feb,4,Fri,18,5,26
DF2,PRATO CHEIO,DESTAQUE,x,2022,Feb,4,Fri,16,2,39
DF2,PRATO CHEIO,DESTAQUE,x,2022,Feb,4,Fri,16,8,25
DF2,PRATO CHEIO,DESTAQUE,x,2022,Feb,4,Fri,16,16,54
DF2,PRATO CHEIO,DESTAQUE,x,2022,Feb,4,Fri,16,24,36
DF2,SEM DIALISE,DESTAQUE,x,2022,Feb,4,Fri,16,47,18
DF2,SEM DIALISE,DESTAQUE,x,2022,Feb,4,Fri,16,35,9
GE,BOTAFOGO,FOTO,x,2022,Feb,4,Fri,12,8,8
GE,FLUMINENSE,ARTE,KMB,2022,Feb,4,Fri,10,24,1
GE,FLUMINENSE,FOTO,KMB,2022,Feb,4,Fri,9,16,58
GE,INSTAGRAM GABRIEL,PASSEIO,x,2022,Feb,4,Fri,10,5,27
GE,INTERROGACAO,ARTE,KMB,2022,Feb,4,Fri,11,41,11
x,TELA,TELA,x,2022,Feb,4,Fri,19,47,10
x,TELA,TELA,x,2022,Feb,4,Fri,19,59,41
GNEWS,ARTE CPI COVID novo,ARTE,x,2022,Feb,4,Fri,22,50,50
GNEWS,ARTE CPI COVID,ARTE,x,2022,Feb,4,Fri,22,8,4
GNEWS,DESTAQUE,DESTAQUE,PHB,2022,Feb,4,Fri,19,52,24
GNEWS,RADIOTERAPIA,MAPA,x,2022,Feb,4,Fri,10,15,50
GNEWS,RADIOTERAPIA,MAPA,x,2022,Feb,4,Fri,12,27,53
GNEWS,RELATORIO FINAL CPI COVID,x,x,2022,Feb,4,Fri,21,54,58
GNEWS,TWITTER FNP,x,x,2022,Feb,4,Fri,20,10,15
J10,CPI,x,x,2022,Feb,4,Fri,20,18,44
J10,CPI,x,x,2022,Feb,4,Fri,20,33,37
JG,PISO PROFESSORES,ARTE,x,2022,Feb,4,Fri,21,8,38
JH,AGU COMPROVANTE VACINAÇÃO,DESTAQUE,x,2022,Feb,4,Fri,11,9,6
JN,FEDERACOES,ARTE,x,2022,Feb,4,Fri,18,21,43
JN,FEDERACOES,ARTE,x,2022,Feb,4,Fri,19,46,18
