,PRODUÇÃO,RETRANCA,TIPO,ARTISTA,ANO,MÊS,DIA,SEMANA,HORA,MINUTOS,SEGUNDOS,VERSÃO
40,GE,DIA DAS MULHERES,x,KMB,2022,Mar,8,Tue,12,5,6,V1
41,GE,DIA DAS MULHERES,x,AMB,2022,Mar,8,Tue,11,36,35,V1
42,GNEWS,BOLSONARO,FOTO,TFB,2022,Mar,8,Tue,19,53,14,V1
43,GNEWS,COMBUSTIVEIS,ARTE,TFB,2022,Mar,8,Tue,18,25,22,V1
44,GNEWS,JOGO ELEITORAL,x,x,2022,Mar,8,Tue,20,26,43,V1
45,GNEWS,JOGO ELEITORAL,x,x,2022,Mar,8,Tue,19,10,56,V2
46,GNEWS,OPERACAO RESGUARDO,ARTE,x,2022,Mar,8,Tue,19,2,2,V1
47,H1,SAUDE MENSTRUAL,ARTE,GVB,2022,Mar,8,Tue,22,46,16,V1
48,JG,SAUDE MENSTRUAL,ARTE,GVB,2022,Mar,8,Tue,23,6,34,V1
49,JG,SAUDE MENSTRUAL,ARTE,GVB,2022,Mar,8,Tue,23,56,13,V2
50,JH,POBREZA MENSTRUAL,ARTE,KMB,2022,Mar,8,Tue,13,24,3,V1
51,JN,MINERACAO INDIGENAS ARTE PROJETO,ARTE,FQB,2022,Mar,8,Tue,19,39,55,V1
52,JN,MINERACAO INDIGENAS LEVANTAMENTO,ARTE,FQB,2022,Mar,8,Tue,19,27,56,V1
53,JN,SAUDE MENSTRUAL,ARTE,GVB,2022,Mar,8,Tue,20,7,36,V1
0,BDBR,SAUDE MENSTRUAL,ARTE,GVB,2022,Mar,9,Wed,0,2,31,V3
1,BDDF,ESPORTE SELO BASQUETE,ARTE,FQB,2022,Mar,9,Wed,21,55,48,V1
2,BDDF,FARMACIA ALTO CUSTO,DESTAQUE,x,2022,Mar,9,Wed,22,51,22,V1
3,BDDF,FILA DA ADOCAO,ARTE,GVB,2022,Mar,9,Wed,19,47,32,V1
4,BDDF,MEGA SENA 1,ARTE,KMB,2022,Mar,9,Wed,5,46,31,V1
5,BDDF,MEGA SENA 2,ARTE,KMB,2022,Mar,9,Wed,6,2,27,V1
6,BDDF,REPASSES ONIBUS,ARTE,x,2022,Mar,9,Wed,21,35,25,x
7,BDDF,REPASSES ONIBUS,ARTE,x,2022,Mar,9,Wed,22,0,18,V2
8,BDDF,ROUBOS SANTA MARIA,ARTE,FQB,2022,Mar,9,Wed,19,54,5,V1
9,BDDF,TRANSPPLANTE,ARTE,x,2022,Mar,9,Wed,18,47,31,V1
10,BDDF,VARA INFANCIA,DESTAQUE,x,2022,Mar,9,Wed,19,32,23,V1
11,DF1,PERGUNTE AO DOUTOR,ARTE,KMB,2022,Mar,9,Wed,8,54,25,V1
12,DF1,PRECO GAS,ARTE,AMB,2022,Mar,9,Wed,11,35,6,V1
13,DF1,PRECO GAS,ARTE,AMB,2022,Mar,9,Wed,11,39,5,V2
14,DF1,PRECO GAS,ARTE,AMB,2022,Mar,9,Wed,12,11,43,V3
15,DF1,PRECO GAS,ARTE,AMB,2022,Mar,9,Wed,12,12,31,V4
16,x,GATOS FUMACINHA OPCAO 1,FOTO,AMB,2022,Mar,9,Wed,9,21,12,V1
17,x,GATOS FUMACINHA OPCAO 2,FOTO,AMB,2022,Mar,9,Wed,9,55,25,V1
18,x,GATOS JUREMA OPCAO 1,FOTO,AMB,2022,Mar,9,Wed,9,20,52,V1
19,x,GATOS JUREMA OPCAO 2,FOTO,AMB,2022,Mar,9,Wed,9,55,2,V1
20,x,GATOS MALU OPCAO 1,FOTO,AMB,2022,Mar,9,Wed,9,20,30,V1
21,x,GATOS MALU OPCAO 2,FOTO,AMB,2022,Mar,9,Wed,9,54,43,V1
22,GNEWS,ATO PELA TERRA,ARTE,GVB,2022,Mar,9,Wed,20,59,50,V1
23,GNEWS,BASE,x,PHB,2022,Mar,9,Wed,17,8,52,V1
24,GNEWS,BASE,x,PHB,2022,Mar,9,Wed,17,27,13,V2
25,GNEWS,CLAQUETE 1,ARTE,x,2022,Mar,9,Wed,21,34,7,V2
26,GNEWS,CLAQUETE 2,ARTE,x,2022,Mar,9,Wed,21,34,55,V2
27,GNEWS,CLAQUETE 3,ARTE,x,2022,Mar,9,Wed,21,35,43,V2
28,GNEWS,CLAQUETE CAETANO,ARTE,x,2022,Mar,9,Wed,21,12,16,x
29,GNEWS,CLAQUETECAETANO,ARTE,x,2022,Mar,9,Wed,21,22,45,V1
30,GNEWS,CLAQUETECAETANO,ARTE,x,2022,Mar,9,Wed,21,23,37,V1
31,GNEWS,CLAQUETECAETANO,ARTE,x,2022,Mar,9,Wed,21,22,25,V1
32,GNEWS,COMBUSTIVEIS,ARTE,TFB,2022,Mar,9,Wed,11,10,5,V2
33,GNEWS,JOGOS ELEITORAIS BY,ARTE,x,2022,Mar,9,Wed,20,54,0,V1
34,JH,PRECOS COMBUSTIVEIS 1,ARTE,KMB,2022,Mar,9,Wed,11,27,20,V1
0,BDBR,REFIS,ARTE,TFB,2022,Mar,10,Thu,23,26,37,V1
1,BDDF,DENGUE NO DF,ARTE,GVB,2022,Mar,10,Thu,21,51,31,V1
2,BDDF,ESPORTE BRASILEIRAO FEMININO,TELA,GVB,2022,Mar,10,Thu,22,8,26,V1
3,BDDF,EVOLUCAO GASOLINA LINK,ARTE,TFB,2022,Mar,10,Thu,23,49,54,V1
4,BDDF,USO DE MASCARAS,ARTE,FQB,2022,Mar,10,Thu,22,55,16,V1
5,x,PREMIO,ARTE,x,2022,Mar,10,Thu,19,3,22,V1
6,x,PREMIO,ARTE,x,2022,Mar,10,Thu,19,18,7,V1
7,x,PREMIO,ARTE,x,2022,Mar,10,Thu,19,0,48,V1
8,DF1,AFASTA,x,PHB,2022,Mar,10,Thu,10,43,25,V1
9,DF1,ALTO CUSTO,DESTAQUE,AMB,2022,Mar,10,Thu,10,42,16,V1
10,DF1,CADE O LANCHE1,x,AMB,2022,Mar,10,Thu,10,29,46,x
11,DF1,CADE O LANCHE1,x,AMB,2022,Mar,10,Thu,10,38,0,V1
12,DF1,CADE O LANCHE2,x,AMB,2022,Mar,10,Thu,10,34,46,x
13,DF1,CADE O LANCHE2,x,AMB,2022,Mar,10,Thu,10,36,6,V2
14,DF1,CADE O LANCHE2,x,AMB,2022,Mar,10,Thu,11,2,1919:03 11/03/2022,V3
15,DF1,FILHO LADRAO,DESTAQUE,KMB,2022,Mar,10,Thu,11,21,2,V1
16,DF1,FILHO LADRAO,x,KMB,2022,Mar,10,Thu,11,1,3,V1
17,DF1,JUSTICA ARMAS,ARTE,AMB,2022,Mar,10,Thu,10,7,10,V1
18,DF1,NFC PETROBRAS,ARTE,AMB,2022,Mar,10,Thu,11,19,24,V1
19,DF1,NFC PETROBRAS,ARTE,AMB,2022,Mar,10,Thu,11,30,30,V2
20,DF1,USO MASCARAS,ARTE,KLB,2022,Mar,10,Thu,17,39,5,V1
21,DF1,USO MASCARAS,ARTE,KLB,2022,Mar,10,Thu,17,49,50,V2
22,DF2,DECRETO MASCARAS ESPORTE,ARTE,TFB,2022,Mar,10,Thu,17,33,53,V1
23,DF2,DECRETO MASCARAS ESPORTE,ARTE,TFB,2022,Mar,10,Thu,17,51,45,V2
24,DF2,DECRETO MASCARAS REDE ENSINO,ARTE,TFB,2022,Mar,10,Thu,17,50,55,V1
25,DF2,DOCUMENTO TECNICO,DESTAQUE,KLB,2022,Mar,10,Thu,18,32,8,V1
26,DF2,DOCUMENTO TECNICO,DESTAQUE,KLB,2022,Mar,10,Thu,18,48,18,V1
27,DF2,DOCUMENTO TECNICO,DESTAQUE,KLB,2022,Mar,10,Thu,18,55,53,V1
28,DF2,DOCUMENTO TECNICO,DESTAQUE,KLB,2022,Mar,10,Thu,18,37,57,V2
29,DF2,ESGOTO NAS CASAS DOC 1,DESTAQUE,TFB,2022,Mar,10,Thu,17,17,24,V1
30,DF2,ESGOTO NAS CASAS,DESTAQUE,KLB,2022,Mar,10,Thu,17,16,51,V1
31,DF2,ESGOTO NAS CASAS,DESTAQUE,KLB,2022,Mar,10,Thu,17,24,28,V2
32,DF2,ESGOTO NAS CASAS,DESTAQUE,PHB,2022,Mar,10,Thu,17,24,30,V1
33,GE,CHARGE,x,PHB,2022,Mar,10,Thu,12,32,44,x
34,GE,PSG MEMES,ARTE,AMB,2022,Mar,10,Thu,11,9,16,V1
35,GE,PSG,ARTE,KMB,2022,Mar,10,Thu,12,28,28,V1
36,GNEWS,CAGED TELAO,ARTE,TFB,2022,Mar,10,Thu,21,7,51,V1
37,GNEWS,CHEGADA BRASILEIROS,MAPA,FQB,2022,Mar,10,Thu,21,18,39,V1
38,GNEWS,JOGO ELEITORAL TELOES,ARTE,x,2022,Mar,10,Thu,22,5,14,V1
39,GNEWS,JOGO ELEITORAL TELOES,ARTE,x,2022,Mar,10,Thu,22,12,51,V2
40,GNEWS,MAPA MASCARAS ARTE 1,MAPA,FQB,2022,Mar,10,Thu,22,0,33,V1
41,GNEWS,MAPA MASCARAS ARTE 2,MAPA,FQB,2022,Mar,10,Thu,22,6,58,V1
42,GNEWS,PREMIO INNOVARE,ARTE,TFB,2022,Mar,10,Thu,21,31,1,V1
43,GNEWS,RINGUE ELEITORAL,ARTE,KMB,2022,Mar,10,Thu,9,29,52,V1
44,GNEWS,RINGUE ELEITORAL,ARTE,KMB,2022,Mar,10,Thu,9,38,15,V2
45,GNEWS,RINGUE ELEITORAL,ARTE,KMB,2022,Mar,10,Thu,9,45,17,V3
46,JG,CHEGADA BRASILEIROS,MAPA,GVB,2022,Mar,10,Thu,23,18,32,V1
47,JG,COMBUSTIVEIS 01,ARTE,GVB,2022,Mar,10,Thu,23,40,56,V1
48,JG,COMBUSTIVEIS 02,ARTE,GVB,2022,Mar,10,Thu,23,41,24,V1
49,JG,COMBUSTIVEIS ARTE PROJETO FUNDO,ARTE,GVB,2022,Mar,10,Thu,22,53,1,V1
50,JH,COMBUSTIVEIS FUNDO,ARTE,KMB,2022,Mar,10,Thu,12,55,59,V1
51,JH,COMBUSTIVEIS FUNDO,ARTE,KMB,2022,Mar,10,Thu,13,11,19,V2
52,JH,COMBUSTIVEIS ICMS,ARTE,KMB,2022,Mar,10,Thu,12,51,53,V1
53,JN,ANIMAIS EM EXTINCAO,x,FQB,2022,Mar,10,Thu,19,8,38,V1
54,JN,ANIMAIS EM EXTINCAO,x,FQB,2022,Mar,10,Thu,19,44,0,V2
55,JN,CHEGADA BRASILEIROS,ARTE,FQB,2022,Mar,10,Thu,19,48,49,V1
56,JN,CHEGADA BRASILEIROS,MAPA,FQB,2022,Mar,10,Thu,19,51,58,V1
57,JN,COMBUSTIVEIS ARTE ICMS,ARTE,GVB,2022,Mar,10,Thu,19,28,36,V1
58,JN,COMBUSTIVEIS ARTE ICMS,ARTE,GVB,2022,Mar,10,Thu,19,55,40,V2
59,JN,COMBUSTIVEIS ARTE ICMS,ARTE,GVB,2022,Mar,10,Thu,20,2,12,V3
60,JN,COMBUSTIVEIS ARTE ICMS,ARTE,GVB,2022,Mar,10,Thu,20,30,46,V4
61,JN,COMBUSTIVEIS ARTE ICMS,ARTE,GVB,2022,Mar,10,Thu,20,42,42,V5
62,JN,COMBUSTIVEIS ARTE PROJETO FUNDO,ARTE,GVB,2022,Mar,10,Thu,18,52,1,V1
63,JN,COMBUSTIVEIS,x,x,2022,Mar,10,Thu,20,0,18,V1
64,JN,PREMIO,ARTE,x,2022,Mar,10,Thu,19,44,54,V2
65,JN,PROBREZA MENSTRUAL,ARTE,TFB,2022,Mar,10,Thu,20,30,33,V1
66,JN,PROBREZA MENSTRUAL,ARTE,TFB,2022,Mar,10,Thu,20,44,26,V2
