PRODUÇÃO,RETRANCA,TIPO,ARTISTA,ANO,MÊS,DIA,SEMANA,HORA,MINUTOS,SEGUNDOS
BDBR,DIARIO OFICIAL,DESTAQUE,x,2022,Jan,16,Sun,18,27,7
BDBR,DIARIO OFICIAL,DESTAQUE,x,2022,Jan,16,Sun,18,27,19
BDDF,TRANSPORTE,x,x,2022,Jan,16,Sun,19,47,49
BDDF,APREENSAO DROGAS,x,x,2022,Jan,16,Sun,18,1,42
BDDF,FISCALIZACAO DF LEGAL,x,x,2022,Jan,16,Sun,18,38,47
BDDF,FURTO COMERCIO,x,x,2022,Jan,16,Sun,19,29,7
BDDF,GRAFICO INFLACAO,GRAFICO,x,2022,Jan,16,Sun,17,37,19
BDDF,LOCAIS DE VACINACAO,x,x,2022,Jan,16,Sun,21,6,5
BDDF,ROUBO COMERCIO,x,x,2022,Jan,16,Sun,19,4,25
x,ARTE,ARTE,x,2022,Jan,16,Sun,17,47,39
x,ARTE,ARTE,x,2022,Jan,16,Sun,17,47,52
x,ARTE,ARTE,x,2022,Jan,16,Sun,17,48,4
x,ARTE,ARTE,x,2022,Jan,16,Sun,17,48,16
x,ARTE,ARTE,x,2022,Jan,16,Sun,17,48,29
GNEWS,CALENDARIO VACINACAO,x,x,2022,Jan,16,Sun,17,24,37
