PRODUÇÃO,RETRANCA,TIPO,ARTISTA,ANO,MÊS,DIA,SEMANA,HORA,MINUTOS,SEGUNDOS
DF1,PONTE MELCHIOR,MAPA,x,2022,Jan,8,Sat,9,33,37
DF1,VISTORIA MELCHIOR,DESTAQUE,x,2022,Jan,8,Sat,10,26,56
DF1,VISTORIA MELCHIOR,DESTAQUE,x,2022,Jan,8,Sat,10,31,2
DF2,MAPA,MAPA,x,2022,Jan,8,Sat,16,5,22
DF2,MAPA,MAPA,x,2022,Jan,8,Sat,16,19,37
DF2,MAPA,MAPA,x,2022,Jan,8,Sat,18,22,52
GE,SUPERLIGA MASCULINA,ARTE,x,2022,Jan,8,Sat,10,5,40
GE,TELAO MERCHAN,TELA,x,2022,Jan,8,Sat,9,31,16
GNEWS,NOTA ANVISA,DESTAQUE,x,2022,Jan,8,Sat,20,10,56
GNEWS,NOTA ANVISA,DESTAQUE,x,2022,Jan,8,Sat,20,26,39
JN,BARRA TORRES,DESTAQUE,x,2022,Jan,8,Sat,20,22,37
