PRODUÇÃO,RETRANCA,TIPO,ARTISTA,ANO,MÊS,DIA,SEMANA,HORA,MINUTOS,SEGUNDOS
BDDF,CASOS DE DENGUE DF,x,x,2022,Jan,30,Sun,16,34,52
BDDF,CASOS DE DENGUE DF,x,x,2022,Jan,30,Sun,18,7,44
BDDF,CASOS DE DENGUE SOBRADINHO,x,x,2022,Jan,30,Sun,16,33,29
BDDF,CASOS DE DENGUE SOBRADINHO,x,x,2022,Jan,30,Sun,18,8,35
BDDF,VARIANTE OMICRON,ARTE,x,2022,Jan,30,Sun,23,19,17
BDDF,VARIANTE OMICRON,ARTE,x,2022,Jan,30,Sun,23,18,41
BDDF,VARIANTE OMICRON,ARTE,x,2022,Jan,30,Sun,23,18,6
BDDF,VARIANTE OMICRON,ARTE,x,2022,Jan,30,Sun,23,17,31
GNEWS,PRE-CANDIDATOS,x,x,2022,Jan,30,Sun,17,45,6
GNEWS,PRE-CANDIDATOS,x,x,2022,Jan,30,Sun,18,12,19
GNEWS,PRE-CANDIDATOS,x,x,2022,Jan,30,Sun,17,56,36
GNEWS,PRE-CANDIDATOS,x,x,2022,Jan,30,Sun,17,45,22
GNEWS,PRE-CANDIDATOS,x,x,2022,Jan,30,Sun,17,41,15
GE,AGENDA,x,x,2022,Jan,30,Sun,19,9,8
GE,AGENDA,x,x,2022,Jan,30,Sun,19,8,52
GE,AGENDA,x,x,2022,Jan,30,Sun,19,8,29
