PRODUÇÃO,RETRANCA,TIPO,ARTISTA,ANO,MÊS,DIA,SEMANA,HORA,MINUTOS,SEGUNDOS
BDBR,CAMPANHA DA FRATERNIDADE destaquePag03,DESTAQUE,GVB,2022,Mar,1,Tue,22,9,0
BDBR,CAMPANHA DA FRATERNIDADE destaquePag05,DESTAQUE,GVB,2022,Mar,1,Tue,22,10,51
BDDF,ALTO CUSTO asa sul,ARTE,GVB,2022,Mar,1,Tue,0,57,54
BDDF,ALTO CUSTO ceilandia,ARTE,GVB,2022,Mar,1,Tue,0,58,23
BDDF,ALTO CUSTO gama,ARTE,GVB,2022,Mar,1,Tue,0,58,51
BDDF,AMBULANCIA,ARTE,AMB,2022,Mar,1,Tue,21,50,54
BDDF,ESPORTE copa do brasil,ARTE,GVB,2022,Mar,1,Tue,20,52,15
BDDF,IMPOSTO DE RENDA 2,ARTE,GVB,2022,Mar,1,Tue,0,21,38
BDDF,VACINOMETRO,ARTE,x,2022,Mar,1,Tue,20,12,32
DF1,CHICO ANGU likes,DESTAQUE,x,2022,Mar,1,Tue,11,9,9
DF1,CHICO ANGU tuites,DESTAQUE,x,2022,Mar,1,Tue,11,9,0
DF1,CHICO ANGU,x,x,2022,Mar,1,Tue,10,26,17
DF1,CHICO ANGU,MAPA,KMB,2022,Mar,1,Tue,8,58,24
DF1,CHICO ANGU,PASSEIO,KMB,2022,Mar,1,Tue,9,18,23
DF1,FALTA ONCOLOGISTA,ARTE,KMB,2022,Mar,1,Tue,7,58,56
DF2,ACIDENTE LAGO,x,GVB,2022,Mar,1,Tue,18,23,14
DF2,BEBE ESCOLA NOTA SECRETARIA,DESTAQUE,AMB,2022,Mar,1,Tue,18,27,33
DF2,BEBE,DESTAQUE,x,2022,Mar,1,Tue,18,12,44
DF2,BEBE,DESTAQUE,x,2022,Mar,1,Tue,18,20,8
DF2,BEBE,DESTAQUE,x,2022,Mar,1,Tue,18,46,37
DF2,BEBE,DESTAQUE,x,2022,Mar,1,Tue,19,12,50
DF2,COVID,DESTAQUE,x,2022,Mar,1,Tue,17,11,4
DF2,COVID,GRAFICO,x,2022,Mar,1,Tue,16,54,55
DF2,COVID,GRAFICO,x,2022,Mar,1,Tue,18,23,45
DF2,COVID,GRAFICO,x,2022,Mar,1,Tue,18,31,21
DF2,VAZA ESGOTO adasa,DESTAQUE,GVB,2022,Mar,1,Tue,17,54,38
DF2,VAZA ESGOTO pericia 01,DESTAQUE,GVB,2022,Mar,1,Tue,18,25,14
DF2,VAZA ESGOTO pericia 02,DESTAQUE,GVB,2022,Mar,1,Tue,18,26,36
DF2,VAZA ESGOTO pericia,DESTAQUE,GVB,2022,Mar,1,Tue,17,55,18
GNEWS,FERTILIZANTES,ARTE,x,2022,Mar,1,Tue,15,33,37
GNEWS,MANIFESTO,x,x,2022,Mar,1,Tue,17,48,29
JH,FERTILIZANTES,ARTE,GVB,2022,Mar,1,Tue,12,30,30
