PRODUÇÃO,RETRANCA,TIPO,ARTISTA,ANO,MÊS,DIA,SEMANA,HORA,MINUTOS,SEGUNDOS
BDBR,REFIS,ARTE,TFB,2022,Mar,10,Thu,23,26,37
BDDF,DENGUE NO DF,ARTE,GVB,2022,Mar,10,Thu,21,51,31
BDDF,ESPORTE BRASILEIRAO FEMININO,TELA,GVB,2022,Mar,10,Thu,22,8,26
BDDF,EVOLUCAO GASOLINA link,ARTE,TFB,2022,Mar,10,Thu,23,49,54
BDDF,USO DE MASCARAS,ARTE,FQB,2022,Mar,10,Thu,22,55,16
x,PREMIO,ARTE,x,2022,Mar,10,Thu,19,3,22
x,PREMIO,ARTE,x,2022,Mar,10,Thu,19,18,7
x,PREMIO,ARTE,x,2022,Mar,10,Thu,19,0,48
DF1,AFASTA,x,PHB,2022,Mar,10,Thu,10,43,25
DF1,ALTO CUSTO,DESTAQUE,AMB,2022,Mar,10,Thu,10,42,16
DF1,CADE O LANCHE1,x,AMB,2022,Mar,10,Thu,10,29,46
DF1,CADE O LANCHE1,x,AMB,2022,Mar,10,Thu,10,38,0
DF1,CADE O LANCHE2,x,AMB,2022,Mar,10,Thu,10,34,46
DF1,CADE O LANCHE2,x,AMB,2022,Mar,10,Thu,10,36,6
DF1,CADE O LANCHE2,x,AMB,2022,Mar,10,Thu,11,2,19
DF1,FILHO LADRAO,DESTAQUE,KMB,2022,Mar,10,Thu,11,21,2
DF1,FILHO LADRAO,x,KMB,2022,Mar,10,Thu,11,1,3
DF1,JUSTICA ARMAS,ARTE,AMB,2022,Mar,10,Thu,10,7,10
DF1,NFC PETROBRAS,ARTE,AMB,2022,Mar,10,Thu,11,19,24
DF1,NFC PETROBRAS,ARTE,AMB,2022,Mar,10,Thu,11,30,30
DF1,USO MASCARAS,ARTE,KLB,2022,Mar,10,Thu,17,39,5
DF1,USO MASCARAS,ARTE,KLB,2022,Mar,10,Thu,17,49,50
DF2,DECRETO MASCARAS ESPORTE,ARTE,TFB,2022,Mar,10,Thu,17,33,53
DF2,DECRETO MASCARAS ESPORTE,ARTE,TFB,2022,Mar,10,Thu,17,51,45
DF2,DECRETO MASCARAS REDE ENSINO,ARTE,TFB,2022,Mar,10,Thu,17,50,55
DF2,DOCUMENTO TECNICO,DESTAQUE,KLB,2022,Mar,10,Thu,18,32,8
DF2,DOCUMENTO TECNICO,DESTAQUE,KLB,2022,Mar,10,Thu,18,48,18
DF2,DOCUMENTO TECNICO,DESTAQUE,KLB,2022,Mar,10,Thu,18,55,53
DF2,DOCUMENTO TECNICO,DESTAQUE,KLB,2022,Mar,10,Thu,18,37,57
DF2,ESGOTO NAS CASAS DOC 1,DESTAQUE,TFB,2022,Mar,10,Thu,17,17,24
DF2,ESGOTO NAS CASAS,DESTAQUE,KLB,2022,Mar,10,Thu,17,16,51
DF2,ESGOTO NAS CASAS,DESTAQUE,KLB,2022,Mar,10,Thu,17,24,28
DF2,ESGOTO NAS CASAS,DESTAQUE,PHB,2022,Mar,10,Thu,17,24,30
GE,CHARGE,x,PHB,2022,Mar,10,Thu,12,32,44
GE,PSG MEMES,ARTE,AMB,2022,Mar,10,Thu,11,9,16
GE,PSG,ARTE,KMB,2022,Mar,10,Thu,12,28,28
GNEWS,CAGED TELAO,TELA,TFB,2022,Mar,10,Thu,21,7,51
