PRODUÇÃO,RETRANCA,TIPO,ARTISTA,ANO,MÊS,DIA,SEMANA,HORA,MINUTOS,SEGUNDOS
BDBR,UCRANIA BRASIL,MAPA,FQB,2022,Mar,3,Thu,23,10,32
BDBR,UCRANIA BRASIL,MAPA,FQB,2022,Mar,3,Thu,23,32,31
BDBR,VISTO UCRANIANO,ARTE,TFB,2022,Mar,3,Thu,23,23,54
BDDF,AFOGAMENTOS DF,ARTE,GVB,2022,Mar,3,Thu,21,56,22
BDDF,AFOGAMENTOS DF,ARTE,GVB,2022,Mar,3,Thu,22,8,13
BDDF,AVANCO BARRIL PETROLEO,TELA,GVB,2022,Mar,3,Thu,0,57,6
BDDF,EMPLACAMENTO 2,ARTE,x,2022,Mar,3,Thu,23,30,10
BDDF,EMPLACAMENTO,ARTE,x,2022,Mar,3,Thu,23,31,56
BDDF,ESCOLA ELETRICISTA,ARTE,x,2022,Mar,3,Thu,22,55,23
BDDF,ESPORTE,ARTE,GVB,2022,Mar,3,Thu,23,0,22
BDDF,FIM DAS CONTAS valores a receber,ARTE,IRB,2022,Mar,3,Thu,10,30,55
BDDF,PRECO DOLAR,TELA,GVB,2022,Mar,3,Thu,0,57,34
BDDF,REDUÇÃO,x,PHB,2022,Mar,3,Thu,20,28,10
BDDF,SEM MASCARAS,ARTE,TFB,2022,Mar,3,Thu,21,55,40
BDDF,TRANSMISSAO COVID,GRAFICO,TFB,2022,Mar,3,Thu,22,23,23
DF1,DENUNCIA HRG1,DESTAQUE,AMB,2022,Mar,3,Thu,10,19,31
DF1,DENUNCIA HRG2,DESTAQUE,AMB,2022,Mar,3,Thu,10,25,21
DF1,EXPULSA,DESTAQUE,IRB,2022,Mar,3,Thu,10,41,56
DF1,MANSAO 01,ARTE,IRB,2022,Mar,3,Thu,10,12,13
DF1,MANSAO 02,ARTE,IRB,2022,Mar,3,Thu,9,54,12
DF1,MANSAO,FOTO,IRB,2022,Mar,3,Thu,9,47,25
DF1,PERIGO CASA,GRAFICO,IRB,2022,Mar,3,Thu,11,56,6
