PRODUÇÃO,RETRANCA,TIPO,ARTISTA,ANO,MÊS,DIA,SEMANA,HORA,MINUTOS,SEGUNDOS
BDBR,EXPLICA DINHEIRO,DESTAQUE,TFB,2022,Mar,4,Fri,20,13,45
BDBR,UCRANIA BRASIL,MAPA,IRB,2022,Mar,4,Fri,7,2,39
BDBR,VISTO UCRANIANO,ARTE,x,2022,Mar,4,Fri,0,7,7
BDBR,VISTO UCRANIANO,ARTE,x,2022,Mar,4,Fri,0,21,13
BDDF,AFOGAMENTOS DF,ARTE,IRB,2022,Mar,4,Fri,5,53,32
BDDF,AFOGAMENTOS DF,ARTE,IRB,2022,Mar,4,Fri,5,55,15
BDDF,FIM DAS CONTAS PIB 01,ARTE,IRB,2022,Mar,4,Fri,10,24,52
BDDF,FIM DAS CONTAS PIB 02,ARTE,IRB,2022,Mar,4,Fri,10,32,55
BDDF,IMOVEIS,ARTE,GVB,2022,Mar,4,Fri,5,14,49
BDDF,PRECO IMOVEIS,ARTE,GVB,2022,Mar,4,Fri,1,16,53
BDDF,REDUÇÃO DO IPI,ARTE,IRB,2022,Mar,4,Fri,5,10,1
DF1,COVID CRIANÇAS,ARTE,IRB,2022,Mar,4,Fri,11,51,38
DF1,DESABA QUARTEL,FOTO,KMB,2022,Mar,4,Fri,11,41,52
DF1,FIM DAS CONTAS PIB 01,ARTE,IRB,2022,Mar,4,Fri,10,48,27
DF1,FIM DAS CONTAS PIB 02,ARTE,IRB,2022,Mar,4,Fri,10,47,12
DF1,HIPSTER DA FEDERAL,FOTO,AMB,2022,Mar,4,Fri,10,27,15
DF1,MUDA FISCAIS,DESTAQUE,x,2022,Mar,4,Fri,11,33,58
DF1,MUDA FISCAIS,DESTAQUE,x,2022,Mar,4,Fri,12,12,42
DF1,MUDA FISCAIS,DESTAQUE,x,2022,Mar,4,Fri,12,15,32
DF1,ROTA DOS BURACOS,MAPA,KMB,2022,Mar,4,Fri,11,26,42
DF2,AGUAS EMENDADAS DESTAQUE 1,FOTO,FQB,2022,Mar,4,Fri,17,31,29
DF2,AGUAS EMENDADAS DESTAQUE 2,FOTO,FQB,2022,Mar,4,Fri,17,31,48
DF2,AGUAS EMENDADAS DESTAQUE 3,FOTO,FQB,2022,Mar,4,Fri,17,32,2
DF2,AGUAS EMENDADAS DESTAQUE 4,FOTO,FQB,2022,Mar,4,Fri,17,31,9
DF2,BASE,ARTE,PHB,2022,Mar,4,Fri,18,18,47
DF2,DESTAQUE,DESTAQUE,PHB,2022,Mar,4,Fri,17,27,23
DF2,DESTAQUE,DESTAQUE,PHB,2022,Mar,4,Fri,18,22,43
DF2,DESTAQUE,DESTAQUE,PHB,2022,Mar,4,Fri,17,39,57
DF2,FAMILIAS ENDIVIDADAS 1,GRAFICO,TFB,2022,Mar,4,Fri,17,16,6
DF2,FAMILIAS ENDIVIDADAS 2,GRAFICO,TFB,2022,Mar,4,Fri,17,26,4
x,ABERTURA,x,KLB,2022,Mar,4,Fri,17,31,1
GE,COPA DO BRASIL GLOBO RURAL,ARTE,IRB,2022,Mar,4,Fri,10,44,15
GE,COPA DO BRASIL o globo,ARTE,KMB,2022,Mar,4,Fri,10,11,39
GE,COPA DO BRASIL o globo,ARTE,KMB,2022,Mar,4,Fri,10,16,3
GE,LINK DECRETO,DESTAQUE,AMB,2022,Mar,4,Fri,11,20,15
GE,LINK DECRETO,DESTAQUE,AMB,2022,Mar,4,Fri,11,21,29
GNEWS,IMAGENS LINEU DE PAULA,x,PHB,2022,Mar,4,Fri,19,8,44
GNEWS,IMAGENS NORTON RAPESTA,x,x,2022,Mar,4,Fri,19,14,32
GNEWS,INCERTEZAS,ARTE,x,2022,Mar,4,Fri,20,25,6
JH,ORLANDO BRITO,DESTAQUE,KMB,2022,Mar,4,Fri,13,11,19
JH,ORLANDO BRITO,DESTAQUE,KMB,2022,Mar,4,Fri,13,21,23
JH,ORLANDO BRITO,DESTAQUE,KMB,2022,Mar,4,Fri,13,32,30
x,ORLANDO BRITO FRASE,ARTE,x,2022,Mar,4,Fri,22,1,5
x,ORLANDO BRITO,DESTAQUE,x,2022,Mar,4,Fri,22,39,27
