PRODUÇÃO,RETRANCA,TIPO,ARTISTA,ANO,MÊS,DIA,SEMANA,HORA,MINUTOS,SEGUNDOS
BDBR,DINHEIRO ESQUECIDO,ARTE,FQB,2022,Feb,11,Fri,21,49,50
BDBR,DINHEIRO ESQUECIDO,x,FQB,2022,Feb,11,Fri,22,12,29
BDBR,FIES,TELA,x,2022,Feb,11,Fri,0,0,27
BDBR,FIES,TELA,x,2022,Feb,11,Fri,0,3,37
BDBR,FIES,x,x,2022,Feb,11,Fri,0,10,15
BDDF,LANCHES CLDF,DESTAQUE,x,2022,Feb,11,Fri,7,25,0
BDDF,LEITOS DE UTI,ARTE,x,2022,Feb,11,Fri,0,33,30
BDDF,LEITOS DE UTI,ARTE,x,2022,Feb,11,Fri,0,48,8
BDDF,NO FIM DAS CONTAS DINHEIRO ESQUECIDO,ARTE,x,2022,Feb,11,Fri,6,38,10
DF1,ATENDIMENTO INSS,DESTAQUE,x,2022,Feb,11,Fri,10,53,46
DF1,COVID CASOS,GRAFICO,x,2022,Feb,11,Fri,21,20,2
DF1,COVID MORTES,GRAFICO,x,2022,Feb,11,Fri,21,25,0
GE,ESCOLA LONGE DE CASA,DESTAQUE,x,2022,Feb,11,Fri,9,27,0
DF1,MAIS ROLO,ARTE,KMB,2022,Feb,11,Fri,11,2,7
DF1,MAIS ROLO,DESTAQUE,x,2022,Feb,11,Fri,11,17,18
DF1,MAIS ROLO,DESTAQUE,x,2022,Feb,11,Fri,11,5,36
DF1,MAIS ROLO,DESTAQUE,x,2022,Feb,11,Fri,11,12,33
DF1,MAIS ROLO,DESTAQUE,x,2022,Feb,11,Fri,11,32,42
DF1,MAIS ROLO,DESTAQUE,x,2022,Feb,11,Fri,11,6,59
DF1,MAIS ROLO,DESTAQUE,x,2022,Feb,11,Fri,11,5,6
DF1,MAIS ROLO,x,KMB,2022,Feb,11,Fri,10,46,42
DF1,PROMESSA DESPEJO,DESTAQUE,x,2022,Feb,11,Fri,10,46,31
DF1,VACINACAO CONTRA,x,PHB,2022,Feb,11,Fri,18,2,17
DF2,ACESSIBILIDADE,DESTAQUE,x,2022,Feb,11,Fri,16,40,25
DF2,ACESSIBILIDADE,DESTAQUE,x,2022,Feb,11,Fri,16,40,15
DF2,ARARA,x,x,2022,Feb,11,Fri,17,58,53
DF2,COVID,GRAFICO,x,2022,Feb,11,Fri,18,12,37
DF2,DESTAQUE,DESTAQUE,PHB,2022,Feb,11,Fri,17,40,43
DF2,DESTAQUE,DESTAQUE,PHB,2022,Feb,11,Fri,18,41,57
DF2,DESTAQUE,DESTAQUE,PHB,2022,Feb,11,Fri,18,48,30
DF2,REGRAS CONDOMINIOS,ARTE,x,2022,Feb,11,Fri,18,33,16
GE,CORINTHIANS,ARTE,x,2022,Feb,11,Fri,10,15,25
GE,PAULO ANDRE,x,KMB,2022,Feb,11,Fri,11,33,15
GE,PAULO ANDRE,x,x,2022,Feb,11,Fri,11,32,47
GE,PELE,DESTAQUE,KMB,2022,Feb,11,Fri,9,31,11
GE,REDE SOCIAL PAULO ANDRE,DESTAQUE,x,2022,Feb,11,Fri,9,55,44
GE,REDE SOCIAL PAULO ANDRE,DESTAQUE,x,2022,Feb,11,Fri,9,22,20
GNEWS,ARTIGO 282,x,x,2022,Feb,11,Fri,21,48,22
GNEWS,DESMATAMENTO AMAZONIA,x,x,2022,Feb,11,Fri,14,29,27
GNEWS,DESMATAMENTO MAPA,MAPA,x,2022,Feb,11,Fri,20,56,14
GNEWS,DORIA E BALEIA tela 01,TELA,GVB,2022,Feb,11,Fri,21,22,6
GNEWS,DORIA E BALEIA tela 02,TELA,GVB,2022,Feb,11,Fri,21,22,14
GNEWS,DORIA E BALEIA,TELA,GVB,2022,Feb,11,Fri,21,7,15
GNEWS,FIES,ARTE,KMB,2022,Feb,11,Fri,10,16,25
GNEWS,FIES,TELA,KMB,2022,Feb,11,Fri,10,14,46
GNEWS,FIES,TELA,KMB,2022,Feb,11,Fri,10,15,47
GNEWS,GABINETE ODIO,TELA,x,2022,Feb,11,Fri,22,9,33
GNEWS,GABINETE ODIO,TELA,x,2022,Feb,11,Fri,22,31,39
GNEWS,GABINETE,TELA,x,2022,Feb,11,Fri,21,57,59
GNEWS,GABINETE,TELA,x,2022,Feb,11,Fri,22,25,21
GNEWS,JOGO ELEITORAL,ARTE,x,2022,Feb,11,Fri,21,10,19
GNEWS,JOGO ELEITORAL,ARTE,x,2022,Feb,11,Fri,21,10,49
GNEWS,MILICIAS DIGITAIS,ARTE,x,2022,Feb,11,Fri,17,7,41
JG,DESMATAMENTO DISPARA,MAPA,x,2022,Feb,11,Fri,21,46,28
JG,DESMATAMENTO,GRAFICO,x,2022,Feb,11,Fri,21,46,37
JG,DESMATAMENTO,GRAFICO,x,2022,Feb,11,Fri,22,20,29
JG,POLICIA FEDERAL,x,x,2022,Feb,11,Fri,0,42,45
JH,DESMATAMENTO JANEIRO,DESTAQUE,KMB,2022,Feb,11,Fri,13,43,2
JH,DESMATAMENTO JANEIRO,GRAFICO,KMB,2022,Feb,11,Fri,12,30,15
JH,DESMATAMENTO JANEIRO,GRAFICO,KMB,2022,Feb,11,Fri,13,58,30
JH,INQUERITO BOLSONARO,DESTAQUE,x,2022,Feb,11,Fri,12,53,22
JH,INQUERITO BOLSONARO,DESTAQUE,KMB,2022,Feb,11,Fri,12,48,38
JH,INQUERITO BOLSONARO,DESTAQUE,KMB,2022,Feb,11,Fri,12,54,34
JH,INQUERITO BOLSONARO,DESTAQUE,KMB,2022,Feb,11,Fri,12,59,7
JH,INQUERITO BOLSONARO,DESTAQUE,KMB,2022,Feb,11,Fri,13,1,59
JH,MILICIAS DIGITAIS,ARTE,x,2022,Feb,11,Fri,13,37,29
JN,DESTAQUE PG 43,DESTAQUE,x,2022,Feb,11,Fri,18,36,15
JN,ARQUIVA LAVAJATO ARTE NOTA RENAN.1,ARTE,x,2022,Feb,11,Fri,19,18,14
JN,ARQUIVA LAVAJATO ARTE NOTA RENAN,ARTE,x,2022,Feb,11,Fri,19,18,49
JN,ARQUIVA LAVAJATO ARTE NOTA RENAN,ARTE,x,2022,Feb,11,Fri,19,34,8
JN,AUMENTA,x,x,2022,Feb,11,Fri,20,13,43
JN,DESMATAMENTO DISPARA,MAPA,x,2022,Feb,11,Fri,19,51,8
JN,DESMATAMENTO DISPARA,MAPA,x,2022,Feb,11,Fri,20,12,1
JN,DESMATAMENTO DISPARA,x,x,2022,Feb,11,Fri,20,22,29
JN,DESMATAMENTO DISPARA,x,x,2022,Feb,11,Fri,20,42,57
JN,DESMATAMENTO,GRAFICO,x,2022,Feb,11,Fri,19,45,9
