PRODUÇÃO,RETRANCA,TIPO,ARTISTA,VERSÃO,ANO,MÊS,DIA,SEMANA,HORA,MINUTOS,SEGUNDOS
BDBR,REFIS,ARTE,TFB,V1,2022,Mar,10,Thu,23,26,37
BDDF,DENGUE NO DF,ARTE,GVB,V1,2022,Mar,10,Thu,21,51,31
BDDF,ESPORTE BRASILEIRAO FEMININO,TELA,GVB,V1,2022,Mar,10,Thu,22,8,26
BDDF,EVOLUCAO GASOLINA LINK,ARTE,TFB,V1,2022,Mar,10,Thu,23,49,54
BDDF,USO DE MASCARAS,ARTE,FQB,V1,2022,Mar,10,Thu,22,55,16
x,PREMIO,ARTE,x,V1,2022,Mar,10,Thu,19,3,22
x,PREMIO,ARTE,x,V1,2022,Mar,10,Thu,19,18,7
x,PREMIO,ARTE,x,V1,2022,Mar,10,Thu,19,0,48
DF1,AFASTA,x,PHB,V1,2022,Mar,10,Thu,10,43,25
DF1,ALTO CUSTO,DESTAQUE,AMB,V1,2022,Mar,10,Thu,10,42,16
DF1,CADE O LANCHE1,x,AMB,x,2022,Mar,10,Thu,10,29,46
DF1,CADE O LANCHE1,x,AMB,V1,2022,Mar,10,Thu,10,38,0
DF1,CADE O LANCHE2,x,AMB,x,2022,Mar,10,Thu,10,34,46
DF1,CADE O LANCHE2,x,AMB,V2,2022,Mar,10,Thu,10,36,6
DF1,CADE O LANCHE2,x,AMB,V3,2022,Mar,10,Thu,11,2,1919:03 11/03/2022
DF1,FILHO LADRAO,DESTAQUE,KMB,V1,2022,Mar,10,Thu,11,21,2
DF1,FILHO LADRAO,x,KMB,V1,2022,Mar,10,Thu,11,1,3
DF1,JUSTICA ARMAS,ARTE,AMB,V1,2022,Mar,10,Thu,10,7,10
DF1,NFC PETROBRAS,ARTE,AMB,V1,2022,Mar,10,Thu,11,19,24
DF1,NFC PETROBRAS,ARTE,AMB,V2,2022,Mar,10,Thu,11,30,30
DF1,USO MASCARAS,ARTE,KLB,V1,2022,Mar,10,Thu,17,39,5
DF1,USO MASCARAS,ARTE,KLB,V2,2022,Mar,10,Thu,17,49,50
DF2,DECRETO MASCARAS ESPORTE,ARTE,TFB,V1,2022,Mar,10,Thu,17,33,53
DF2,DECRETO MASCARAS ESPORTE,ARTE,TFB,V2,2022,Mar,10,Thu,17,51,45
DF2,DECRETO MASCARAS REDE ENSINO,ARTE,TFB,V1,2022,Mar,10,Thu,17,50,55
DF2,DOCUMENTO TECNICO,DESTAQUE,KLB,V1,2022,Mar,10,Thu,18,32,8
DF2,DOCUMENTO TECNICO,DESTAQUE,KLB,V1,2022,Mar,10,Thu,18,48,18
DF2,DOCUMENTO TECNICO,DESTAQUE,KLB,V1,2022,Mar,10,Thu,18,55,53
DF2,DOCUMENTO TECNICO,DESTAQUE,KLB,V2,2022,Mar,10,Thu,18,37,57
DF2,ESGOTO NAS CASAS DOC 1,DESTAQUE,TFB,V1,2022,Mar,10,Thu,17,17,24
DF2,ESGOTO NAS CASAS,DESTAQUE,KLB,V1,2022,Mar,10,Thu,17,16,51
DF2,ESGOTO NAS CASAS,DESTAQUE,KLB,V2,2022,Mar,10,Thu,17,24,28
DF2,ESGOTO NAS CASAS,DESTAQUE,PHB,V1,2022,Mar,10,Thu,17,24,30
GE,CHARGE,x,PHB,x,2022,Mar,10,Thu,12,32,44
GE,PSG MEMES,ARTE,AMB,V1,2022,Mar,10,Thu,11,9,16
GE,PSG,ARTE,KMB,V1,2022,Mar,10,Thu,12,28,28
GNEWS,CAGED TELAO,ARTE,TFB,V1,2022,Mar,10,Thu,21,7,51
GNEWS,CHEGADA BRASILEIROS,MAPA,FQB,V1,2022,Mar,10,Thu,21,18,39
GNEWS,JOGO ELEITORAL TELOES,ARTE,x,V1,2022,Mar,10,Thu,22,5,14
GNEWS,JOGO ELEITORAL TELOES,ARTE,x,V2,2022,Mar,10,Thu,22,12,51
GNEWS,MAPA MASCARAS ARTE 1,MAPA,FQB,V1,2022,Mar,10,Thu,22,0,33
GNEWS,MAPA MASCARAS ARTE 2,MAPA,FQB,V1,2022,Mar,10,Thu,22,6,58
GNEWS,PREMIO INNOVARE,ARTE,TFB,V1,2022,Mar,10,Thu,21,31,1
GNEWS,RINGUE ELEITORAL,ARTE,KMB,V1,2022,Mar,10,Thu,9,29,52
GNEWS,RINGUE ELEITORAL,ARTE,KMB,V2,2022,Mar,10,Thu,9,38,15
GNEWS,RINGUE ELEITORAL,ARTE,KMB,V3,2022,Mar,10,Thu,9,45,17
JG,CHEGADA BRASILEIROS,MAPA,GVB,V1,2022,Mar,10,Thu,23,18,32
JG,COMBUSTIVEIS 01,ARTE,GVB,V1,2022,Mar,10,Thu,23,40,56
JG,COMBUSTIVEIS 02,ARTE,GVB,V1,2022,Mar,10,Thu,23,41,24
JG,COMBUSTIVEIS ARTE PROJETO FUNDO,ARTE,GVB,V1,2022,Mar,10,Thu,22,53,1
JH,COMBUSTIVEIS FUNDO,ARTE,KMB,V1,2022,Mar,10,Thu,12,55,59
JH,COMBUSTIVEIS FUNDO,ARTE,KMB,V2,2022,Mar,10,Thu,13,11,19
JH,COMBUSTIVEIS ICMS,ARTE,KMB,V1,2022,Mar,10,Thu,12,51,53
JN,ANIMAIS EM EXTINCAO,x,FQB,V1,2022,Mar,10,Thu,19,8,38
JN,ANIMAIS EM EXTINCAO,x,FQB,V2,2022,Mar,10,Thu,19,44,0
JN,CHEGADA BRASILEIROS,ARTE,FQB,V1,2022,Mar,10,Thu,19,48,49
JN,CHEGADA BRASILEIROS,MAPA,FQB,V1,2022,Mar,10,Thu,19,51,58
JN,COMBUSTIVEIS ARTE ICMS,ARTE,GVB,V1,2022,Mar,10,Thu,19,28,36
JN,COMBUSTIVEIS ARTE ICMS,ARTE,GVB,V2,2022,Mar,10,Thu,19,55,40
JN,COMBUSTIVEIS ARTE ICMS,ARTE,GVB,V3,2022,Mar,10,Thu,20,2,12
JN,COMBUSTIVEIS ARTE ICMS,ARTE,GVB,V4,2022,Mar,10,Thu,20,30,46
JN,COMBUSTIVEIS ARTE ICMS,ARTE,GVB,V5,2022,Mar,10,Thu,20,42,42
JN,COMBUSTIVEIS ARTE PROJETO FUNDO,ARTE,GVB,V1,2022,Mar,10,Thu,18,52,1
JN,COMBUSTIVEIS,x,x,V1,2022,Mar,10,Thu,20,0,18
JN,PREMIO,ARTE,x,V2,2022,Mar,10,Thu,19,44,54
JN,PROBREZA MENSTRUAL,ARTE,TFB,V1,2022,Mar,10,Thu,20,30,33
JN,PROBREZA MENSTRUAL,ARTE,TFB,V2,2022,Mar,10,Thu,20,44,26
