PRODUÇÃO,RETRANCA,TIPO,ARTISTA,ANO,MÊS,DIA,SEMANA,HORA,MINUTOS,SEGUNDOS
BDBR,ANVISA,DESTAQUE,IRB,2022,Feb,23,Wed,7,55,8
BDBR,NOVO MODELO DE IDENTIDADE arte01,ARTE,GVB,2022,Feb,23,Wed,22,47,17
BDBR,NOVO MODELO DE IDENTIDADE arte01,ARTE,GVB,2022,Feb,23,Wed,23,48,51
BDBR,NOVO MODELO DE IDENTIDADE arte02,ARTE,GVB,2022,Feb,23,Wed,22,49,35
BDBR,NOVO MODELO DE IDENTIDADE arte02,ARTE,GVB,2022,Feb,23,Wed,23,50,41
BDDF,ADOCAO CRIANCAS,ARTE,GVB,2022,Feb,23,Wed,0,58,44
BDDF,CASAL ARMADO,FOTO,KMB,2022,Feb,23,Wed,7,52,38
BDDF,ESCOLAS MILITARIZADAS,MAPA,x,2022,Feb,23,Wed,0,10,49
BDDF,ESCOLAS MILITARIZADAS,MAPA,x,2022,Feb,23,Wed,0,41,13
BDDF,FURTO DE CABOS,TELA,GVB,2022,Feb,23,Wed,1,13,41
BDDF,GRAFICO,GRAFICO,PHB,2022,Feb,23,Wed,19,43,19
BDDF,LINHAS,x,PHB,2022,Feb,23,Wed,19,22,44
BDDF,NOVO RG,PASSEIO,x,2022,Feb,23,Wed,21,29,0
BDDF,O QUE DIZ A LEI,ARTE,x,2022,Feb,23,Wed,22,41,58
BDDF,PROGRAMA NOVOS CAMINHOS,ARTE,x,2022,Feb,23,Wed,21,3,29
BDDF,PROGRAMA NOVOS CAMINHOS,ARTE,x,2022,Feb,23,Wed,21,11,9
BDDF,REGRAS ANTT,ARTE,x,2022,Feb,23,Wed,0,35,50
BDDF,SELO ONIBUS 03,x,x,2022,Feb,23,Wed,5,27,39
BDDF,SELO ONIBUS 04,x,x,2022,Feb,23,Wed,5,28,43
BDDF,VIATURAS PARADAS,ARTE,KLB,2022,Feb,23,Wed,19,18,44
GE,AGENDA CULTURAL,FOTO,KMB,2022,Feb,23,Wed,10,45,52
DF1,BANDO ARMADO,DESTAQUE,KMB,2022,Feb,23,Wed,10,8,6
DF1,GRANA BUS PG 6,DESTAQUE,IRB,2022,Feb,23,Wed,10,3,45
DF1,GRANA BUS WHATSAPP,ARTE,AMB,2022,Feb,23,Wed,10,9,38
DF1,GRANA BUS,ARTE,IRB,2022,Feb,23,Wed,9,56,49
DF1,GRANA BUS,ARTE,IRB,2022,Feb,23,Wed,10,6,1
DF1,GRANA BUS,ARTE,IRB,2022,Feb,23,Wed,10,4,20
DF1,GRANA BUS,ARTE,IRB,2022,Feb,23,Wed,10,24,35
DF1,HELIO PRATES,DESTAQUE,IRB,2022,Feb,23,Wed,10,45,59
DF1,PERGUNTE AO DOUTOR,ARTE,KMB,2022,Feb,23,Wed,8,36,57
DF1,PRESO INJUSTAMENTE,DESTAQUE,IRB,2022,Feb,23,Wed,11,19,14
DF1,VIATURA W3,DESTAQUE,IRB,2022,Feb,23,Wed,10,41,19
DF2,COVID,DESTAQUE,KLB,2022,Feb,23,Wed,16,10,45
DF2,COVID,DESTAQUE,KLB,2022,Feb,23,Wed,16,2,13
DF2,DESFILE ARMAS,ARTE,KLB,2022,Feb,23,Wed,18,27,31
DF2,DESTAQUE,DESTAQUE,PHB,2022,Feb,23,Wed,18,19,25
DF2,LINHAS DO ENTORNO,DESTAQUE,KLB,2022,Feb,23,Wed,17,22,30
DF2,LINHAS,x,PHB,2022,Feb,23,Wed,17,7,41
DF2,LOTES CODHAB,ARTE,KLB,2022,Feb,23,Wed,16,45,48
DF2,OS FOGOS,DESTAQUE,GVB,2022,Feb,23,Wed,17,3,47
DF2,OS FOGOS,DESTAQUE,GVB,2022,Feb,23,Wed,17,4,1
DF2,OS FOGOS,DESTAQUE,GVB,2022,Feb,23,Wed,17,4,14
DF2,OS FOGOS,DESTAQUE,GVB,2022,Feb,23,Wed,17,4,28
DF2,OS FOGOS,DESTAQUE,GVB,2022,Feb,23,Wed,17,4,42
DF2,VIATURAS PARADAS,ARTE,KLB,2022,Feb,23,Wed,18,16,23
GE,BASE VERMELHA,x,x,2022,Feb,23,Wed,11,26,18
GE,FUTEBOL1,DESTAQUE,AMB,2022,Feb,23,Wed,10,38,0
GE,FUTEBOL1,DESTAQUE,AMB,2022,Feb,23,Wed,10,47,39
GE,FUTEBOL2,DESTAQUE,AMB,2022,Feb,23,Wed,11,49,34
GNEWS,EM PAUTA ES,MAPA,x,2022,Feb,23,Wed,18,49,35
GNEWS,JOGO,x,x,2022,Feb,23,Wed,20,23,7
GNEWS,JOGO,TELA,x,2022,Feb,23,Wed,22,47,53
GNEWS,MULHERES,x,x,2022,Feb,23,Wed,23,3,13
GNEWS,MULHERES,x,x,2022,Feb,23,Wed,23,9,17
GNEWS,NOVO MODELO DE IDENTIDADE,ARTE,x,2022,Feb,23,Wed,21,9,38
H1,NOVO MODELO DE IDENTIDADE,ARTE,x,2022,Feb,23,Wed,22,8,26
H1,NOVO MODELO DE IDENTIDADE,ARTE,x,2022,Feb,23,Wed,22,11,49
JG,CPI X PGR,DESTAQUE,x,2022,Feb,23,Wed,22,47,14
JG,NOVO MODELO DE IDENTIDADE,ARTE,x,2022,Feb,23,Wed,21,47,40
JH,FACHIN 01,FOTO,IRB,2022,Feb,23,Wed,11,32,49
JH,FACHIN 01,FOTO,IRB,2022,Feb,23,Wed,11,35,2
JH,FACHIN 02,FOTO,IRB,2022,Feb,23,Wed,11,34,1
JN,CPI X PGR,DESTAQUE,x,2022,Feb,23,Wed,20,40,6
JN,NOVO MODELO DE IDENTIDADE ARTE 2,ARTE,GVB,2022,Feb,23,Wed,20,23,31
JN,NOVO MODELO DE IDENTIDADE ARTE 2,ARTE,GVB,2022,Feb,23,Wed,20,25,49
JN,NOVO MODELO DE IDENTIDADE,ARTE,GVB,2022,Feb,23,Wed,20,3,45
