PRODUÇÃO,RETRANCA,TIPO,ARTISTA,ANO,MÊS,DIA,SEMANA,HORA,MINUTOS,SEGUNDOS
BDBR,IMPOSTO DE RENDA DECLARACAO,ARTE,x,2022,Feb,25,Fri,21,40,44
BDBR,IMPOSTO DE RENDA DECLARACAO,ARTE,x,2022,Feb,25,Fri,21,22,1
BDDF,MEU ONIBUS,x,KMB,2022,Feb,25,Fri,11,10,36
BDDF,REPASSE,x,x,2022,Feb,25,Fri,0,29,45
GE,SELO IGES,ARTE,x,2022,Feb,25,Fri,5,19,43
GE,AGENDA RG,ARTE,KMB,2022,Feb,25,Fri,10,31,11
DF1,COVID CARNAVAL 01,ARTE,IRB,2022,Feb,25,Fri,10,59,40
DF1,COVID CARNAVAL 01,ARTE,IRB,2022,Feb,25,Fri,11,7,10
DF1,COVID CARNAVAL 02,ARTE,IRB,2022,Feb,25,Fri,11,6,43
DF1,COVID CARNAVAL 03,ARTE,IRB,2022,Feb,25,Fri,11,12,14
DF1,MAIS TRETA 1,DESTAQUE,KMB,2022,Feb,25,Fri,9,47,35
DF1,MAIS TRETA 2,DESTAQUE,AMB,2022,Feb,25,Fri,10,49,52
DF1,PERSONAL TRAINER,DESTAQUE,IRB,2022,Feb,25,Fri,7,12,57
DF1,RAPOSA GALINHEIRO DODF,DESTAQUE,IRB,2022,Feb,25,Fri,10,2,45
DF1,RAPOSA GALINHEIRO pg 7,DESTAQUE,IRB,2022,Feb,25,Fri,9,55,33
DF1,RAPOSA GALINHEIRO pg 9,DESTAQUE,IRB,2022,Feb,25,Fri,9,54,27
DF1,RAPOSA GALINHEIRO VARIOS DODF,DESTAQUE,IRB,2022,Feb,25,Fri,10,21,9
DF1,RAPOSA GALINHEIRO,FOTO,IRB,2022,Feb,25,Fri,9,44,0
DF1,RAPOSA GALINHEIRO,PASSEIO,IRB,2022,Feb,25,Fri,9,58,9
DF1,UCRANIA X RUSSIA,MAPA,KMB,2022,Feb,25,Fri,11,10,15
DF2,CONDENA ATAQUE 1,DESTAQUE,x,2022,Feb,25,Fri,17,49,11
DF2,CONDENA ATAQUE 2,DESTAQUE,x,2022,Feb,25,Fri,17,54,4
DF2,CONDENA ATAQUE 3,DESTAQUE,x,2022,Feb,25,Fri,18,10,15
DF2,COVID,ARTE,KLB,2022,Feb,25,Fri,17,53,51
DF2,COVID,ARTE,KLB,2022,Feb,25,Fri,18,18,8
DF2,COVID,ARTE,KLB,2022,Feb,25,Fri,18,24,40
DF2,DESTAQUE,DESTAQUE,PHB,2022,Feb,25,Fri,16,7,11
DF2,INDENIZA SEQUELA,DESTAQUE,KLB,2022,Feb,25,Fri,16,9,3
DF2,INDENIZA SEQUELA,DESTAQUE,KLB,2022,Feb,25,Fri,16,16,28
DF2,PM AMEACA TRANSITO,DESTAQUE,KLB,2022,Feb,25,Fri,17,29,2
DF2,PM AMEACA TRANSITO,DESTAQUE,KLB,2022,Feb,25,Fri,17,35,6
DF2,PM AMEACA TRANSITO,DESTAQUE,KLB,2022,Feb,25,Fri,17,56,4
GE,BANDEIRINHA,DESTAQUE,x,2022,Feb,25,Fri,10,52,45
GE,CURIOSIDADES ESTADUAIS redes sociais,DESTAQUE,KMB,2022,Feb,25,Fri,10,33,19
GE,CURIOSIDADES ESTADUAIS,MAPA,AMB,2022,Feb,25,Fri,10,40,41
GE,CURIOSIDADES ESTADUAIS,MAPA,AMB,2022,Feb,25,Fri,10,39,36
GE,LANCES MAIS CURIOSOS,ARTE,IRB,2022,Feb,25,Fri,10,40,30
GNEWS,DESTAQUE,DESTAQUE,PHB,2022,Feb,25,Fri,17,53,54
GNEWS,FOTO,FOTO,PHB,2022,Feb,25,Fri,18,27,7
GNEWS,GILMAR MENDES,DESTAQUE,KMB,2022,Feb,25,Fri,9,43,40
GNEWS,NOMEACAO,x,x,2022,Feb,25,Fri,18,51,48
GNEWS,NOMEIA,FOTO,x,2022,Feb,25,Fri,18,55,53
GNEWS,TREM,PASSEIO,WMB,2022,Feb,25,Fri,21,6,32
x,SANTA MARIA PARALAX 01,FOTO,IRB,2022,Feb,25,Fri,11,20,24
x,SANTA MARIA PARALAX 02,FOTO,IRB,2022,Feb,25,Fri,11,18,47
x,SANTA MARIA PARALAX 04,FOTO,IRB,2022,Feb,25,Fri,9,39,5
x,SANTA MARIA PARALAX 04,FOTO,IRB,2022,Feb,25,Fri,11,17,5
x,SANTA MARIA PARALAX 05,FOTO,IRB,2022,Feb,25,Fri,9,34,44
x,SANTA MARIA PARALAX 06,FOTO,IRB,2022,Feb,25,Fri,9,32,46
x,SANTA MARIA PARALAX 07,FOTO,IRB,2022,Feb,25,Fri,9,31,12
x,SANTA MARIA PARALAX 08,FOTO,IRB,2022,Feb,25,Fri,9,29,45
JG,TREM PARA BRASILEIROS arte trajeto,ARTE,GVB,2022,Feb,25,Fri,23,6,49
JG,TREM PARA BRASILEIROS arte trajeto,ARTE,GVB,2022,Feb,25,Fri,23,30,34
JH,AMAZONIA ARTE 01,ARTE,GVB,2022,Feb,25,Fri,12,3,58
JH,AMAZONIA ARTE 01,ARTE,GVB,2022,Feb,25,Fri,12,46,5
JH,AMAZONIA ARTE 02,ARTE,GVB,2022,Feb,25,Fri,12,43,4
JH,AMAZONIA ARTE 02,ARTE,GVB,2022,Feb,25,Fri,12,52,4
JH,AMAZONIA ARTE 02,ARTE,GVB,2022,Feb,25,Fri,13,13,4
JH,SAIDA BRASILEIROS 02,DESTAQUE,IRB,2022,Feb,25,Fri,11,53,43
JH,SAIDA BRASILEIROS,DESTAQUE,KMB,2022,Feb,25,Fri,11,37,10
JH,SUCATEAMENTO AMBIENTAL 4,MAPA,KMB,2022,Feb,25,Fri,8,21,44
JN,FOTO,FOTO,PHB,2022,Feb,25,Fri,18,23,28
JN,FOTO,FOTO,PHB,2022,Feb,25,Fri,18,50,18
JN,REDUZ IPI NOTA CNI,DESTAQUE,x,2022,Feb,25,Fri,20,17,44
JN,REDUZ IPI NOTA COMSEFAZ,DESTAQUE,x,2022,Feb,25,Fri,20,32,22
JN,TREM PARA BRASILEIROS arte mapa,MAPA,GVB,2022,Feb,25,Fri,20,9,16
JN,TREM PARA BRASILEIROS arte trajeto,ARTE,GVB,2022,Feb,25,Fri,20,12,43
JN,TREM,ARTE,WMB,2022,Feb,25,Fri,19,20,40
JN,TREM,DESTAQUE,WMB,2022,Feb,25,Fri,19,44,19
JN,TREM,DESTAQUE,WMB,2022,Feb,25,Fri,19,56,45
JN,TREM,DESTAQUE,WMB,2022,Feb,25,Fri,20,12,4
JN,TREM,DESTAQUE,WMB,2022,Feb,25,Fri,20,15,46
JN,TREM,DESTAQUE,WMB,2022,Feb,25,Fri,20,20,25
JN,TREM,DESTAQUE,WMB,2022,Feb,25,Fri,20,33,31
JN,TREM,DESTAQUE,WMB,2022,Feb,25,Fri,20,7,35
JN,TREM,DESTAQUE,WMB,2022,Feb,25,Fri,20,14,54
