PRODUÇÃO,RETRANCA,TIPO,ARTISTA,ANO,MÊS,DIA,SEMANA,HORA,MINUTOS,SEGUNDOS
BDBR,NOTA,x,x,2022,Jan,27,Thu,23,24,39
BDDF,CURSO DE ROBOTICA,x,x,2022,Jan,27,Thu,20,57,34
BDDF,FABRICA,x,x,2022,Jan,27,Thu,18,14,40
BDDF,LEITOS COVID,DESTAQUE,x,2022,Jan,27,Thu,19,20,26
BDDF,MAUS TRATOS,ARTE,x,2022,Jan,27,Thu,5,29,54
BDDF,OCORRÊNCIAS,x,PHB,2022,Jan,27,Thu,19,9,46
BDDF,OUVIDORIA,ARTE,x,2022,Jan,27,Thu,20,22,13
BDDF,OUVIDORIA,ARTE,x,2022,Jan,27,Thu,20,2,57
BDDF,SELO COMBATE À PEDOFILIA,x,x,2022,Jan,27,Thu,5,34,33
BDDF,SUNGA,DESTAQUE,x,2022,Jan,27,Thu,22,13,4
DF1,FALTA SEGURANCA,ARTE,KMB,2022,Jan,27,Thu,10,25,51
DF1,FUNCIONARIOS HCAMP,DESTAQUE,x,2022,Jan,27,Thu,10,15,55
DF1,FUNCIONARIOS HCAMP,DESTAQUE,KMB,2022,Jan,27,Thu,10,4,21
DF1,GOLPES WHATSAPP,ARTE,x,2022,Jan,27,Thu,10,58,19
DF1,GOLPES WHATSAPP,DESTAQUE,x,2022,Jan,27,Thu,10,44,48
DF1,GOLPES WHATSAPP,DESTAQUE,x,2022,Jan,27,Thu,10,44,56
DF1,GOLPES WHATSAPP,DESTAQUE,x,2022,Jan,27,Thu,11,17,42
DF1,GOLPES WHATSAPP,DESTAQUE,x,2022,Jan,27,Thu,11,10,8
DF1,NAJA DE BRASILIA,DESTAQUE,x,2022,Jan,27,Thu,10,23,50
DF1,NAJA DE BRASILIA,FOTO,x,2022,Jan,27,Thu,10,20,43
DF1,NAJA DE BRASILIA,FOTO,x,2022,Jan,27,Thu,10,26,35
GNEWS,TELAS,TELA,x,2022,Jan,27,Thu,19,55,1
GNEWS,TELAS,TELA,x,2022,Jan,27,Thu,20,38,36
GNEWS,NOTA,x,x,2022,Jan,27,Thu,20,18,6
GNEWS,NOTA,x,x,2022,Jan,27,Thu,21,25,50
GE,DOC URGENTE,x,x,2022,Jan,27,Thu,18,30,9
GNEWS,J10,DESTAQUE,x,2022,Jan,27,Thu,19,7,32
GNEWS,TELAO,TELA,x,2022,Jan,27,Thu,21,42,22
GNEWS,TELAO,TELA,x,2022,Jan,27,Thu,21,6,45
H1,NOTA,x,x,2022,Jan,27,Thu,23,54,18
JG,NOTA,x,x,2022,Jan,27,Thu,22,0,32
JG,VACINA,DESTAQUE,x,2022,Jan,27,Thu,23,30,58
JH,GRAVACOES AMBIENTAIS,DESTAQUE,AMB,2022,Jan,27,Thu,12,7,33
JH,GRAVACOES AMBIENTAIS,DESTAQUE,AMB,2022,Jan,27,Thu,12,10,13
JH,GRAVACOES AMBIENTAIS,DESTAQUE,AMB,2022,Jan,27,Thu,12,11,40
JH,GRAVACOES AMBIENTAIS,DESTAQUE,AMB,2022,Jan,27,Thu,13,22,0
JN,MORAES BOLSONARO,DESTAQUE,x,2022,Jan,27,Thu,20,41,6
JN,MORAES BOLSONARO,DESTAQUE,x,2022,Jan,27,Thu,20,27,21
JN,MORAES BOLSONARO,DESTAQUE,x,2022,Jan,27,Thu,20,29,47
JN,MORAES BOLSONARO,DESTAQUE,x,2022,Jan,27,Thu,20,31,50
JN,MORAES BOLSONARO,DESTAQUE,x,2022,Jan,27,Thu,20,33,52
JN,MORAES BOLSONARO,x,x,2022,Jan,27,Thu,20,35,28
