PRODUÇÃO,RETRANCA,TIPO,ARTISTA,ANO,MÊS,DIA,SEMANA,HORA,MINUTOS,SEGUNDOS
DF2,CHUVA,ARTE,x,2022,Jan,1,Sat,18,56,4
DF2,RUA PRA UERJ,DESTAQUE,x,2022,Jan,1,Sat,18,14,38
DF2,TRANSPLANTES,ARTE,x,2022,Jan,1,Sat,18,33,23
DF2,TRANSPLANTES,ARTE,x,2022,Jan,1,Sat,18,57,4
GNEWS,CONTAS PUBLICAS,ARTE,x,2022,Jan,1,Sat,11,42,44
JH,DESONERAÇÃO DA FOLHA,ARTE,x,2022,Jan,1,Sat,11,23,7
JH,DESONERAÇÃO DA FOLHA,PASSEIO,x,2022,Jan,1,Sat,11,55,21
JN,DESONERACAO,ARTE,x,2022,Jan,1,Sat,19,19,18
JN,METANO,ARTE,x,2022,Jan,1,Sat,18,23,19
JN,METANO,ARTE,x,2022,Jan,1,Sat,19,9,34
